index,url
4,https://www.china-aid.com/%e5%a4%aa%e9%98%b3%e8%83%bd%e6%99%ba%e8%83%bd%e4%bc%9e.html
5,https://www.china-aid.com/%e5%a4%aa%e9%98%b3%e8%83%bd%e6%99%ba%e8%83%bd%e4%bc%9e.html
6,https://www.china-aid.com/%e5%8c%bb%e5%8a%a0%e5%8c%bb%e5%81%a5%e5%ba%b7%e6%9c%ba%e5%99%a8%e4%ba%ba.html
7,https://www.china-aid.com/%e5%8c%bb%e5%8a%a0%e5%8c%bb%e5%81%a5%e5%ba%b7%e6%9c%ba%e5%99%a8%e4%ba%ba.html
8,https://www.china-aid.com/o2room-%e7%bb%99%e9%83%bd%e5%b8%82%e4%ba%ba%e5%85%a8%e6%96%b0%e7%9a%84%e6%b0%a7%e7%96%97%e4%bd%93%e9%aa%8c.html
9,https://www.china-aid.com/o2room-%e7%bb%99%e9%83%bd%e5%b8%82%e4%ba%ba%e5%85%a8%e6%96%b0%e7%9a%84%e6%b0%a7%e7%96%97%e4%bd%93%e9%aa%8c.html
10,https://www.china-aid.com/%e6%98%93%e9%80%9a%e5%a4%9a%e9%bc%bb%e9%bb%8f%e8%86%9c%e4%bf%ae%e5%a4%8d%e5%a5%97%e7%9b%92.html
11,https://www.china-aid.com/%e6%98%93%e9%80%9a%e5%a4%9a%e9%bc%bb%e9%bb%8f%e8%86%9c%e4%bf%ae%e5%a4%8d%e5%a5%97%e7%9b%92.html
12,https://www.china-aid.com/%e6%b4%9e%e6%b4%9e%e6%9d%bf.html
13,https://www.china-aid.com/%e6%b4%9e%e6%b4%9e%e6%9d%bf.html
14,https://www.china-aid.com/%e6%b0%b4%e7%b4%a0%e7%94%9f%e6%b4%bb%e5%90%ab%e6%b0%a2%e9%a5%ae%e7%94%a8%e6%b0%b4.html
15,https://www.china-aid.com/%e6%b0%b4%e7%b4%a0%e7%94%9f%e6%b4%bb%e5%90%ab%e6%b0%a2%e9%a5%ae%e7%94%a8%e6%b0%b4.html
16,https://www.china-aid.com/maxis-cotton%e5%8e%8b%e5%8a%9b%e8%a2%9c.html
17,https://www.china-aid.com/maxis-cotton%e5%8e%8b%e5%8a%9b%e8%a2%9c.html
18,https://www.china-aid.com/mediven-thrombexin-18%e5%8c%bb%e7%96%97%e5%8e%8b%e5%8a%9b%e5%b8%a6.html
19,https://www.china-aid.com/mediven-thrombexin-18%e5%8c%bb%e7%96%97%e5%8e%8b%e5%8a%9b%e5%b8%a6.html
20,https://www.china-aid.com/m-4s-oa-comfort-%e8%86%9d%e9%aa%a8%e5%85%b3%e8%8a%82%e7%82%8e%e6%94%af%e5%85%b7.html
21,https://www.china-aid.com/m-4s-oa-comfort-%e8%86%9d%e9%aa%a8%e5%85%b3%e8%8a%82%e7%82%8e%e6%94%af%e5%85%b7.html
22,https://www.china-aid.com/%e6%b7%b1%e8%b9%b2%e6%85%a2%e8%b7%91%e6%9c%ba.html
23,https://www.china-aid.com/%e6%b7%b1%e8%b9%b2%e6%85%a2%e8%b7%91%e6%9c%ba.html
24,https://www.china-aid.com/%e6%8a%a4%e7%90%86%e5%ba%8a%e5%9e%ab-4.html
25,https://www.china-aid.com/%e6%8a%a4%e7%90%86%e5%ba%8a%e5%9e%ab-4.html
